Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Cluster
0,61.6,35.195531,11.012916,18.217434,15.290278,17.091232,42.694965,47.434004,29.813665,7.271803,35.868071,C1
73.913043,53.257143,45.810056,39.42896,0.391773,3.192068,14.377962,1.809806,5.288905,6.21118,10.882278,16.491067,C1
58.695652,73.6,68.156425,21.685928,0.881489,5.936604,4.780806,2.385653,10.762415,6.832298,14.314772,5.390136,C1
10.869565,62.971429,57.541899,48.878314,19.196866,8.389378,21.777251,30.552813,36.477755,14.906832,8.466819,22.186593,C1
43.478261,26.057143,21.22905,48.878314,11.753183,43.155969,5.479858,15.185916,14.611409,2.484472,10.831426,7.527867,C1
41.304348,91.314286,69.832402,54.316791,5.093046,7.034418,4.905213,7.502468,22.152483,12.42236,18.611747,4.000611,C1
8.695652,69.6,44.692737,37.117607,27.326151,6.485511,16.404028,9.789404,62.026952,56.521739,14.263921,18.613529,C1
19.565217,58.971429,39.106145,56.492182,9.20666,2.645633,21.741706,20.138203,29.268968,14.906832,8.466819,93.586807,C1
69.565217,61.142857,54.189944,44.255608,3.721841,2.096726,42.434834,15.482066,30.062765,4.813665,11.645055,7.43625,C1
52.173913,19.085714,49.72067,30.387492,9.304603,14.281476,18.619668,10.52978,16.882038,10.559006,14.314772,6.856009,C1
45.652174,45.828571,47.486034,26.03671,4.015671,16.778756,8.021327,4.508062,6.85804,7.453416,7.271803,2.046114,C1
71.73913,10.4,25.698324,40.244731,76.885406,3.73603,8.619668,15.811122,14.509876,1.863354,8.110857,21.468927,C1
39.130435,50.057143,38.547486,28.212101,4.799216,8.300366,26.030806,15.811122,28.355178,0.621118,3.635901,3.298213,C1
56.521739,52.342857,57.541899,48.878314,6.464251,8.389378,10.035545,18.361303,10.873177,3.10559,14.51818,3.954802,C1
8.695652,65.828571,40.223464,33.378654,10.284035,5.66215,19.046209,18.904245,22.46631,22.981366,17.289601,34.951901,C1
32.608696,79.542857,78.77095,48.878314,0.881489,11.151221,1.688389,1.233959,16.5036,8.074534,12.102721,20.995572,C1
60.869565,45.257143,26.256983,39.42896,6.856024,2.096726,40.290284,3.520895,8.860993,2.484472,11.924739,4.412887,C1
4.347826,60,39.106145,22.637661,12.047013,4.289882,11.74763,37.133926,42.717371,48.447205,12.687516,36.936937,C1
13.043478,61.714286,61.452514,33.378654,16.650343,2.104144,31.445498,25.419546,50.387668,20.496894,12.102721,92.212552,C1
19.565217,72.114286,41.340782,35.825969,8.716944,9.230046,23.003555,5.791379,31.013476,15.52795,12.941775,12.490457,C1
67.391304,75.085714,38.547486,13.732155,3.623898,2.096726,13.696682,0.098717,8.547166,2.484472,13.907958,8.825775,C1
34.782609,54.171429,41.899441,27.124405,21.841332,5.66215,8.317536,1.809806,31.761122,15.52795,22.2985,6.291037,C1
39.130435,75.771429,43.575419,31.475187,1.958864,4.838789,2.547393,0.674564,8.547166,9.937888,36.918383,5.512292,C1
23.913043,45.942857,40.782123,22.773623,4.113614,10.99545,8.157583,0.674564,21.515599,13.043478,32.519705,31.287219,C1
82.608696,55.885714,39.106145,19.510537,0.489716,4.838789,4.638626,3.520895,9.340964,9.31677,11.492499,0.93144,C1
52.173913,59.085714,30.167598,34.194426,4.701273,8.389378,2.494076,13.063508,11.897729,2.484472,12.102721,1.969766,C1
45.652174,82.4,44.134078,45.07138,2.252693,0.998912,3.631517,0.674564,15.192911,5.590062,11.950165,17.697358,C1
63.043478,21.828571,16.201117,39.42896,12.047013,2.967066,16.202607,36.377098,20.943327,4.968944,4.246123,7.13086,C1
30.434783,34.971429,36.312849,22.841604,6.953967,7.034418,1.445498,4.096742,22.420159,2.484472,22.984999,14.490762,C1
56.521739,46.4,22.346369,41.876275,2.742409,6.485511,1.119668,0.098717,6.018091,4.347826,14.441902,6.19942,C1
60.869565,2.857143,25.139665,90.210741,42.115573,65.201266,1.427725,32.576505,60.439358,16.149068,17.162471,28.508169,C1
39.130435,66.171429,30.726257,53.229096,10.577865,8.020967,4.140995,25.781507,19.217279,7.453416,18.154081,4.489235,C1
23.913043,30.171429,14.52514,15.363698,17.629775,34.472357,2.103081,4.656137,64.2422,71.428571,29.392321,19.331196,C1
67.391304,50.171429,30.726257,35.825969,2.15475,3.389872,1.824645,2.994406,10.587041,8.074534,8.466819,1.664376,C1
39.130435,21.942857,11.173184,35.282121,19.098923,11.697656,1.214455,5.791379,45.255677,13.167702,20.56954,11.910215,C1
8.695652,67.542857,42.458101,33.378654,10.675808,6.759964,51.93128,18.904245,23.730847,19.875776,17.289601,38.769278,C1
82.608696,40.114286,11.173184,95.10537,9.794319,16.321333,3.258294,19.957223,11.740816,4.347826,10.882278,2.030844,C1
39.130435,71.428571,55.865922,30.591434,1.665034,2.104144,0.473934,10.727213,5.935019,3.10559,14.51818,3.435639,C1
39.130435,57.257143,32.402235,37.32155,11.165524,4.685491,6.404028,30.273116,19.780321,4.347826,15.738622,2.962284,C1
23.913043,83.314286,46.927374,26.104691,4.407444,8.147068,46.030806,0.674564,8.233339,9.31677,28.451564,58.314246,C1
17.391304,70.285714,64.804469,52.209381,15.181195,12.79547,41.735782,9.789404,27.53369,76.397516,20.696669,89.616735,C1
56.521739,65.371429,37.988827,39.42896,3.623898,5.936604,19.721564,10.924646,11.390068,3.10559,20.56954,2.595816,C1
2.173913,43.314286,47.486034,58.191706,11.263467,7.981406,27.14455,9.772952,82.739524,77.018634,5.441139,50.068713,C1
4.347826,62.857143,37.430168,43.303875,13.907933,9.170705,32.150474,16.370517,35.720879,26.708075,1.220442,41.105512,C1
34.782609,53.142857,37.430168,38.341264,5.093046,6.072594,4.674171,16.238894,18.645006,19.875776,9.94152,5.008398,C1
60.869565,46.057143,40.782123,19.510537,3.330069,4.015429,9.03436,1.809806,7.467233,3.726708,15.128401,16.231486,C1
60.869565,56.8,44.692737,29.979606,3.134182,1.018693,15.781991,10.727213,5.325826,1.863354,11.492499,2.443121,C1
34.782609,76.457143,27.374302,25.3569,1.371205,22.124419,11.214455,12.717999,9.497877,15.52795,50.21612,3.832646,C1
26.086957,51.2,31.843575,38.545207,4.89716,1.681337,11.214455,24.712076,24.109286,16.770186,14.51818,8.99374,C1
21.73913,71.885714,90.502793,19.238613,6.562194,3.733558,9.046209,25.616979,13.199188,19.875776,16.933638,38.69293,C1
58.695652,76.571429,75.418994,27.124405,1.175318,4.564336,1.966825,2.385653,8.860993,3.726708,14.314772,7.176668,C1
45.652174,79.085714,72.067039,23.317471,6.170421,4.937692,8.062796,4.590326,9.433266,1.863354,7.856598,3.511987,C1
21.73913,59.542857,100,33.378654,7.05191,8.681139,7.399289,18.427114,25.21691,15.52795,12.102721,8.123378,C1
67.391304,61.6,35.75419,14.276003,1.860921,1.822273,1.706161,2.385653,5.695034,4.347826,14.51818,2.198809,C1
56.521739,56.685714,74.860335,39.632903,4.995103,1.288201,0.882701,38.417243,12.977663,1.863354,14.51818,3.069171,C1
47.826087,3.885714,11.173184,35.825969,38.099902,54.480269,4.2891,51.727542,38.489939,14.906832,13.679125,6.642235,C1
71.73913,69.714286,48.044693,40.244731,4.89716,4.690436,3.921801,16.765383,10.300905,1.242236,7.856598,2.702703,C1
17.391304,74.285714,45.251397,21.14208,7.345739,5.113243,27.553318,9.789404,43.354255,18.63354,53.2418,28.599786,C1
47.826087,67.428571,62.569832,26.104691,7.345739,14.058946,27.387441,15.712405,19.217279,4.347826,19.069413,10.932967,C1
63.043478,59.428571,45.251397,12.440517,4.113614,2.920087,8.311611,0.098717,13.928374,4.347826,22.400203,4.855703,C1
26.086957,55.885714,44.692737,38.545207,3.819785,0.462368,0.047393,1.941428,27.275245,12.42236,26.6209,6.856009,C1
30.434783,58.514286,53.631285,44.527532,8.619001,15.782316,10.485782,19.414281,11.45468,9.937888,28.527841,10.001527,C1
60.869565,54.971429,44.692737,35.825969,3.330069,2.104144,19.152844,12.981244,7.78106,1.863354,11.645055,2.214078,C1
6.521739,62.628571,50.837989,40.924541,20.274241,6.317377,29.952607,36.377098,33.02566,42.857143,11.492499,64.727439,C1
45.652174,49.371429,45.251397,44.255608,4.211557,14.612798,24.78673,28.956894,20.65719,6.21118,11.645055,4.214384,C1
56.521739,39.771429,57.541899,34.194426,4.995103,2.373652,1.475118,27.673577,12.977663,0.621118,14.51818,3.496717,C1
