@relation agua-with-CAT-InspVis-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute TRANS numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute FeTotal numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute CYCLE {filling,full,emptying,dry}

@data
2.8,8.1,7.32,5.04,0.1,19.57,0.98,4.64,6.47,1,5.95,2.32,emptying
2.5,1.46,6.43,11.6,3.79,193.29,11.22,24.22,41.5,5,1.67,6.01,filling
0.8,5.06,7.53,8.65,0.86,110.72,81.34,3.61,9.1,17,8.14,26.7,dry
2.6,4.37,6.79,5.46,0.4,0.71,57.49,1.28,8.53,1,4.64,9.69,filling
3.2,0.27,6.94,7.39,10.23,159.39,27.51,7.55,55.31,5,5.91,16,emptying
1,6.21,6.89,5.88,0.94,27.34,28.79,13.04,43.15,5.8,17.85,11.14,full
2.2,7.42,7.44,5.92,0.48,32.69,5.32,10.13,16.75,0.4,2.86,1.77,filling
2,7.66,7.57,6.89,0.6,23.89,66.91,7.19,12.41,3.2,3.17,6.97,dry
3,5.36,7.83,7.12,0.41,15.1,2.9,10.13,10.75,0.4,4.52,1.45,full
3,5.25,7.1,6.24,0.84,48.69,11.83,4.98,2.86,1,2.86,2.69,full
1,6.75,7.14,4.39,1.17,13.99,7.26,28.73,47.42,12.8,5.71,7.15,full
1.5,5.96,7.04,7.28,1.07,58.41,18.36,0.59,33.21,4,8.5,34.1,dry
3.3,5.35,7.11,2.8,0.44,11.81,14.03,0.24,16.76,1.6,8.81,3.29,emptying
3,6.4,7.05,4.8,0.69,11.81,3.51,1.6,10.76,1,5.95,1.63,emptying
1.2,7.17,7.4,6.48,0.67,81.78,8.59,8.44,21.56,5,2.38,3.41,emptying
1.5,5.13,7.29,3.36,0.47,59.1,16.92,16.49,20.93,3.4,4.05,5.86,dry
1.6,5.04,7.1,7.6,0.55,56.86,6.45,19.71,26.54,6.4,12.79,7.29,dry
3.1,5.52,7.48,7.28,0.78,36.92,10.07,11.66,12.21,0.6,1.19,1.75,dry
0.9,5.66,7.33,8.16,1.98,33.93,36.76,18.75,41.19,5,3.33,14.64,filling
2.5,6.53,7.04,3.84,0.33,9.59,8.52,0.59,29.1,2.6,11.12,3.18,emptying
3.5,6.38,7.33,6.89,0.09,8.48,45.49,5.68,5.79,2,6.66,11.38,dry
1.7,5.83,7.06,3.67,0.66,7.37,34.81,2.32,27.04,4.8,16.42,4.39,dry
3.2,5.28,7,5.28,0.31,5.21,35.47,8.42,9.76,1.2,2.86,1.26,emptying
2.6,0.56,6.34,8.87,6.38,244.83,23.12,34.87,49.32,7.8,4.64,27.5,filling
2.5,5.79,7.11,6.89,0.68,8.04,38.37,15.56,22.74,0.8,2.62,3.68,full
2.8,5.32,6.84,6,0.5,33.93,4.21,8.12,14.56,1,4.76,1.4,filling
3,6.07,7.24,5.76,0.19,16.24,52.19,6.83,10.24,1.2,10.38,1.88,filling
3.5,6.84,7.34,6.89,0.09,14.02,44.25,5.68,1.67,1,3.81,11.3,dry
0.8,3.9,7.26,6.28,1.15,39.28,49.43,8.76,42.03,8.8,6.43,27.45,dry
1.5,5.42,7.05,5.66,0.41,38.44,5.66,0.59,20.87,7.4,9.28,8.23,dry
2.5,2.34,6.99,4.62,2.74,240.4,10.78,0.24,40.75,12.4,6.49,11.87,dry
1,6.35,6.95,5.32,1.03,21.79,56.78,8.55,43.15,7,15.71,19.38,filling
0.5,6.98,7.63,6.99,1.41,26.23,68.93,4.05,52.75,32.4,5,51.3,full
1.8,4.55,7.48,7.76,0.41,55.77,33.84,12.54,25.07,3.8,8.77,5,dry
2.8,0.61,6.53,9.68,8.02,245.27,26.4,40,58.47,7.2,6.6,5.41,filling
3,5.6,7.39,4.64,0.69,1.92,10.78,2.29,9.1,1.6,5.24,1.69,emptying
2.2,2.07,6.5,6.16,1.97,47.31,2.05,3.7,50.7,4.44,8.09,7.91,full
1.2,6.91,7.07,4.39,0.86,14.02,36.05,1.63,28.44,12,14.28,16.5,full
3.2,5.04,6.86,3,0.35,18.46,5.36,0.18,12.46,1.8,9.04,0.78,full
1.2,0.34,6.67,10.02,3.75,110.56,1.81,14.09,110.01,18.4,5.09,39.07,full
1.1,6.46,7.93,5.8,1.2,6.31,46.36,7.04,26.36,5,13.09,18.02,filling
2.6,5.28,7.42,6.89,0.23,24.58,3.43,9.73,15.95,1.4,4.76,2.41,dry
3,5.86,7.43,2.19,0.14,12.91,6.89,0.93,8.75,1.2,9.04,10.85,emptying
3.5,4.93,7.35,4.39,0.06,20.68,48.59,3.72,9.43,3.6,3.09,1.24,filling
2.2,5.75,6.93,4.81,0.12,10.7,66.61,1.63,7.4,3.2,10.23,2.73,dry
2.5,2.07,7.02,4.32,1.06,139.29,20.85,3.61,13.42,3.4,6.49,3.41,dry
1,6.01,6.93,5.88,0.82,14.02,36.51,10.63,35.95,6.2,8.33,12.79,full
1.8,5.33,7.13,6.4,1.78,37.33,2.36,1.28,19.88,3.4,8.57,2.57,dry
3.5,5.99,7.31,6.89,0.21,11.81,56.72,1.63,8.87,4,4.41,18.86,dry
2.3,0.62,6.63,12.08,4.41,147.18,3.51,28.29,92.18,1.8,7.32,14.26,filling
0.8,6.72,7.53,8.65,2.17,45.89,32.99,27.44,72.04,15.6,8.14,32.2,filling
1.9,6.14,7.47,7.48,0.05,30.67,33.18,1.97,15.84,3.4,4.58,12.14,emptying
3.1,4.63,6.9,7.27,0.46,59.84,18.53,18.18,21.24,0.8,2.62,1.57,full
0.7,5.63,7.21,6.99,2.09,25.55,50.56,22.29,37.45,14,4.52,42.5,full
1.4,7.03,7.23,6.4,0.94,36.22,19.83,5.44,44.53,4.6,4.81,6.39,full
1.9,5.56,7.33,4.39,0.4,11.74,17.45,15.53,18.75,1.6,5.24,3.42,filling
4,7.11,7.02,4.39,0.27,4.04,30.57,1.28,9.21,1.4,4.63,9.5,filling
1,6.04,6.94,5.16,1.1,17.35,64.1,10.28,41.78,6.6,13.09,20.8,filling
3,5.87,6.98,6.77,0.39,24.01,33.29,6.82,14.01,1.2,8.09,1.81,full
1.7,5.44,6.65,8.98,0.91,66.01,11.58,13.92,20.93,4.2,5.71,5.25,full
0.8,6.22,7.53,8.72,1.87,11.8,49.48,11.51,42.97,11,5.95,43.6,filling
3.2,0.69,6.54,10.37,2.73,202.67,15.25,36.1,74.88,12.6,4.48,56.6,filling
1.8,3.09,6.73,9.76,1.24,17.31,6.02,12.95,35.89,6.4,11.12,6,dry
1.1,7.08,7.64,6.4,0.75,76.79,8.46,8.12,20.31,4.6,1.9,3.24,emptying
1.5,5.53,7.33,3.04,0.49,51.2,8.94,4.58,11.58,3.6,6.19,4.69,dry
2.6,6.2,7.36,7.48,0.51,86.76,27.6,10.05,15.01,0.4,2.62,1.71,emptying
