Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Cluster
34.782609,57.8125,46.742857,43.575419,19.442556,98.360656,54.82866,4.799216,34.693878,54.166667,57.142857,25.454545,22.94778,20.953791,1.168147,17.749677,9.31677,22.400203,15.116812,C1
17.391304,54.6875,80.228571,61.452514,37.457512,24.918033,13.551402,6.366308,63.265306,40.555556,46.031746,20,20.220552,5.088863,13.589997,18.35887,14.906832,6.05136,5.038937,C1
8.695652,48.4375,69.371429,68.715084,52.685248,38.852459,13.707165,18.119491,51.020408,35.277778,20.634921,27.272727,2.917614,29.312796,18.641,38.120731,33.540373,15.128401,66.407085,C1
34.782609,60.9375,68.342857,55.307263,32.834806,26.557377,5.451713,3.721841,46.938776,56.944444,28.571429,21.818182,3.080803,40.396919,4.656137,13.29149,4.347826,17.137046,11.055123,C1
39.130435,65.625,58.514286,21.22905,31.475187,16.065574,16.978193,5.386876,34.693878,48.611111,23.809524,25.454545,3.192068,4.905213,2.385653,17.721986,7.453416,21.179761,3.893724,C1
0,39.0625,62.514286,34.078212,13.188307,30.983607,19.937695,14.397649,51.020408,24.444444,12.698413,21.818182,15.290278,23.441943,40.835801,65.423666,27.950311,5.441139,34.951901,C1
67.391304,67.1875,60.457143,43.01676,37.457512,9.508197,17.601246,2.938296,59.183673,40.555556,22.222222,12.727273,6.317377,4.117299,1.414939,12.026952,9.31677,11.492499,3.389831,C1
47.826087,62.5,58.628571,62.569832,40.244731,14.42623,26.323988,2.056807,49.744898,66.666667,22.222222,12.727273,6.077539,2.031991,15.712405,13.180727,3.726708,12.102721,3.511987,C1
60.869565,64.0625,54.971429,44.692737,35.825969,29.836066,13.707165,3.330069,55.102041,61.944444,4.761905,3.636364,2.104144,19.152844,12.981244,7.78106,1.863354,11.645055,2.214078,C1
71.73913,57.8125,69.714286,48.044693,40.244731,37.540984,26.323988,4.89716,59.183673,43.333333,28.571429,16.363636,4.690436,3.921801,16.765383,10.300905,1.242236,7.856598,2.702703,C1
21.73913,50,50.857143,27.374302,63.562203,48.196721,38.785047,17.335945,9.693878,56.666667,41.269841,30.909091,11.97211,16.954976,2.945048,14.943696,59.006211,32.519705,17.895862,C1
15.217391,46.875,49.714286,77.653631,32.834806,46.885246,5.451713,11.263467,51.020408,48.611111,26.984127,29.090909,2.373652,47.263033,14.116486,23.40779,11.801242,48.410882,26.93541,C1
78.26087,81.25,66.628571,65.363128,9.721278,13.114754,5.919003,1.175318,55.102041,51.388889,36.507937,16.363636,2.37118,13.412322,1.809806,6.645745,3.726708,11.492499,16.964422,C1
10.869565,76.5625,60.571429,47.486034,69.00068,48.196721,32.71028,4.505387,34.183673,66.666667,82.539683,23.636364,7.536347,9.2891,28.956894,42.228171,29.409938,55.987796,12.902733,C1
