36,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
37,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
38,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
39,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
40,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
41,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
42,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
43,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
44,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
45,99.92665335398313,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 23.333334,DHC_MINPTS - 8.888889],}
